|No| Caso de prueba | Prioridad | Precondiciones | Datos de entrada | Pasos | Resultados Esperados | Resultado Obtenido | Estado |
|---|---|---|---|---|---|---|---|---|
| **Reserva Principal** | | | | | | | | |
| 1 | Registro exitoso de una nueva reserva (tipo "Reserva") con adelanto en efectivo | Alta | El formulario de registro de reserva está abierto. Cliente seleccionado. Stock disponible. | Cliente: "Juan Perez", Tipo de Pedido: "Reserva", Producto: "Producto A", Cantidad: 2, Tipo de Entrega: "Retiro en Sucursal", Fecha/Hora de Entrega: "2025-12-25 15:00", Método de Pago: "Efectivo", Monto Recibido: 30.00 (Total Reserva: 50.00, Adelanto Requerido: 25.00) | 1. Seleccionar un cliente existente. 2. Seleccionar "Reserva" como tipo de pedido. 3. Agregar "Producto A" (cantidad 2) al carrito. 4. Seleccionar "Retiro en Sucursal" y especificar fecha/hora. 5. Seleccionar "Efectivo" como método de pago. 6. Ingresar "30.00" en "Monto recibido". 7. Hacer clic en "Registrar Reserva". | Se muestra una notificación de éxito con el mensaje "Reserva registrada correctamente." o similar. El formulario se cierra. La nueva reserva aparece en el historial con estado "Reservado". El stock de "Producto A" se reduce. El cambio se calcula correctamente. | Se muestra la notificación de éxito, el formulario se cierra, la reserva aparece en el historial, el stock se reduce y el cambio es correcto. | Ok |
| 2 | Intento de registro de reserva (tipo "Reserva") con adelanto insuficiente | Alta | El formulario de registro de reserva está abierto. Carrito con ítems. | Cliente: "Maria Lopez", Tipo de Pedido: "Reserva", Producto: "Producto B", Cantidad: 1 (Total Reserva: 40.00, Adelanto Requerido: 20.00), Método de Pago: "Efectivo", Monto Recibido: 15.00 | 1. Seleccionar un cliente. 2. Seleccionar "Reserva" como tipo de pedido. 3. Agregar "Producto B" (cantidad 1) al carrito. 4. Seleccionar "Efectivo" como método de pago. 5. Ingresar "15.00" en "Monto recibido" (menor que el adelanto requerido). 6. Hacer clic en "Registrar Reserva". | Se muestra un mensaje de error "El adelanto debe ser de al menos [Monto Requerido] Bs.". El formulario no se guarda. | Se muestra el mensaje de error "El adelanto debe ser de al menos [Monto Requerido] Bs." y el formulario no se guarda. | Ok |
| 3 | Intento de registro de reserva con carrito vacío | Media | El formulario de registro de reserva está abierto. | Cliente: "Carlos Garcia", Tipo de Pedido: "Pedido", Carrito: vacío | 1. Seleccionar un cliente. 2. Seleccionar un tipo de pedido. 3. No agregar ningún producto/promoción/paquete al carrito. 4. Intentar hacer clic en "Registrar Reserva". | El botón "Registrar Reserva" está deshabilitado o se muestra un mensaje de error indicando que el carrito no puede estar vacío. | El botón "Registrar Reserva" está deshabilitado. | Ok |
| 4 | Intento de agregar promoción sin stock suficiente de sus componentes | Media | El formulario de registro de reserva está abierto. | Promoción: "Promo X" (requiere 2x "Producto C", stock de "Producto C": 1), Cantidad a agregar: 1 | 1. Intentar agregar "Promo X" al carrito. | Se muestra un mensaje de error "Stock insuficiente. Solo se pueden vender 0 promociones debido al ítem 'Producto C'." o similar. La promoción no se agrega. | Se muestra el mensaje de error "Stock insuficiente. Solo se pueden vender 0 promociones debido al ítem 'Producto C'." y la promoción no se agrega. | Ok |
| 5 | Cancelación del registro de reserva | Baja | El formulario de registro de reserva está abierto. | - | 1. Rellenar algunos campos y agregar ítems (opcional). 2. Hacer clic en el botón "Cancelar". | El formulario se cierra sin guardar ningún cambio. Los ítems en el carrito se descartan. El stock de los productos se restablece. | El formulario se cierra, los ítems se descartan y el stock se restablece. | Ok |
| **Modal Nuevo Cliente (dentro de Reserva)** | | | | | | | | |
| 6 | Registro exitoso de un nuevo cliente desde el modal | Alta | El modal de registro de nuevo cliente está abierto. Todos los datos son válidos. | Nombre: "Laura", Apellido Paterno: "Diaz", Email: "laura.diaz@example.com", CI: "1122334", Género: "Femenino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Rellenar todos los campos con datos válidos. 3. Hacer clic en "Guardar Cliente". | El modal se cierra. El nuevo cliente aparece seleccionado en el campo "Cliente" del formulario de reserva principal. | El modal se cierra y el nuevo cliente aparece seleccionado. | Ok |
| 7 | Intento de registro de nuevo cliente con CI duplicado | Media | El modal de registro de nuevo cliente está abierto. Existe un cliente con CI "1122334". | Nombre: "Roberto", Apellido Paterno: "Vargas", Email: "roberto.v@example.com", CI: "1122334", Género: "Masculino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Rellenar campos con datos válidos, pero usar un CI ya existente. 3. Hacer clic en "Guardar Cliente". | Se muestra un mensaje de error "Ya existe un cliente con este CI." o similar debajo del campo CI. El modal no se cierra. | Se muestra el mensaje de error "Ya existe un cliente con este CI." y el modal no se cierra. | Ok |
| 8 | Intento de registro de nuevo cliente con campos obligatorios vacíos | Media | El modal de registro de nuevo cliente está abierto. | Nombre: (vacío), Apellido Paterno: "Soto", Email: "test3@test.com", CI: "9988776", Género: "Masculino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Dejar el campo "Nombre(s)" vacío. 3. Rellenar el resto de campos con datos válidos. 4. Hacer clic en "Guardar Cliente". | Se muestra un mensaje de error "El nombre es requerido." o similar debajo del campo "Nombre(s)". El modal no se cierra. | Se muestra el mensaje de error "El nombre es requerido." y el modal no se cierra. | Ok |
