|No| Caso de prueba | Prioridad | Precondiciones | Datos de entrada | Pasos | Resultados Esperados | Resultado Obtenido | Estado |
|---|---|---|---|---|---|---|---|---|
| **Venta Principal** | | | | | | | | |
| 1 | Registro exitoso de una nueva venta con producto y pago en efectivo | Alta | El formulario de registro de venta está abierto. Cliente seleccionado. Stock disponible. | Cliente: "Juan Perez", Producto: "Producto A", Cantidad: 2, Método de Pago: "Efectivo", Monto Recibido: 50.00 (Total Venta: 45.00) | 1. Seleccionar un cliente existente. 2. Agregar "Producto A" (cantidad 2) al carrito. 3. Seleccionar "Efectivo" como método de pago. 4. Ingresar "50.00" en "Monto recibido". 5. Hacer clic en "Registrar Venta". | Se muestra una notificación de éxito con el mensaje "Venta registrada correctamente.". El formulario se cierra. La nueva venta aparece en el historial. El stock de "Producto A" se reduce. El cambio se calcula correctamente. | Se muestra la notificación de éxito, el formulario se cierra, la venta aparece en el historial, el stock se reduce y el cambio es correcto. | Ok |
| 2 | Intento de registro de venta con carrito vacío | Alta | El formulario de registro de venta está abierto. | Cliente: "Maria Lopez", Carrito: vacío, Método de Pago: "Efectivo", Monto Recibido: 0.00 | 1. Seleccionar un cliente. 2. No agregar ningún producto/promoción/paquete al carrito. 3. Intentar hacer clic en "Registrar Venta". | El botón "Registrar Venta" está deshabilitado o se muestra un mensaje de error indicando que el carrito no puede estar vacío. | El botón "Registrar Venta" está deshabilitado. | Ok |
| 3 | Intento de registro de venta con monto recibido insuficiente (Efectivo) | Media | El formulario de registro de venta está abierto. Carrito con ítems. | Cliente: "Carlos Garcia", Producto: "Producto B", Cantidad: 1 (Total Venta: 25.00), Método de Pago: "Efectivo", Monto Recibido: 20.00 | 1. Seleccionar un cliente. 2. Agregar "Producto B" (cantidad 1) al carrito. 3. Seleccionar "Efectivo" como método de pago. 4. Ingresar "20.00" en "Monto recibido" (menor que el total). 5. Hacer clic en "Registrar Venta". | Se muestra un mensaje de error "El monto recibido debe ser mayor o igual al total". El formulario no se guarda. | Se muestra el mensaje de error "El monto recibido debe ser mayor o igual al total" y el formulario no se guarda. | Ok |
| 4 | Intento de agregar producto sin stock disponible | Media | El formulario de registro de venta está abierto. | Producto: "Producto C" (Stock: 0), Cantidad a agregar: 1 | 1. Intentar agregar "Producto C" al carrito (ya sea desde la card o el selector). | Se muestra un mensaje de error "Este producto no tiene stock disponible." o "Stock disponible: 0." | Se muestra el mensaje de error "Este producto no tiene stock disponible." | Ok |
| 5 | Cancelación del registro de venta | Baja | El formulario de registro de venta está abierto. | - | 1. Rellenar algunos campos y agregar ítems (opcional). 2. Hacer clic en el botón "Cancelar". | El formulario se cierra sin guardar ningún cambio. Los ítems en el carrito se descartan. El stock de los productos se restablece. | El formulario se cierra, los ítems se descartan y el stock se restablece. | Ok |
| **Modal Nuevo Cliente** | | | | | | | | |
| 6 | Registro exitoso de un nuevo cliente desde el modal | Alta | El modal de registro de nuevo cliente está abierto. Todos los datos son válidos. | Nombre: "Ana", Apellido Paterno: "Gomez", Email: "ana.gomez@example.com", Teléfono: "77778888", CI: "1234567", Género: "Femenino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Rellenar todos los campos con datos válidos. 3. Hacer clic en "Guardar Cliente". | El modal se cierra. El nuevo cliente aparece seleccionado en el campo "Cliente" del formulario de venta principal. | El modal se cierra y el nuevo cliente aparece seleccionado. | Ok |
| 7 | Intento de registro de nuevo cliente con CI duplicado | Media | El modal de registro de nuevo cliente está abierto. Existe un cliente con CI "1234567". | Nombre: "Pedro", Apellido Paterno: "Mamani", Email: "pedro@example.com", Teléfono: "66665555", CI: "1234567", Género: "Masculino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Rellenar campos con datos válidos, pero usar un CI ya existente. 3. Hacer clic en "Guardar Cliente". | Se muestra el mensaje de error "Ya existe un cliente con este CI." debajo del campo CI. El modal no se cierra. | Se muestra el mensaje de error "Ya existe un cliente con este CI." y el modal no se cierra. | Ok |
| 8 | Intento de registro de nuevo cliente con campos obligatorios vacíos | Media | El modal de registro de nuevo cliente está abierto. | Nombre: (vacío), Apellido Paterno: "Rodriguez", Email: "test@test.com", Teléfono: "12345678", CI: "8765432", Género: "Masculino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Dejar el campo "Nombre(s)" vacío. 3. Rellenar el resto de campos con datos válidos. 4. Hacer clic en "Guardar Cliente". | Se muestra el mensaje de error "El nombre es requerido." debajo del campo "Nombre(s)". El modal no se cierra. | Se muestra el mensaje de error "El nombre es requerido." y el modal no se cierra. | Ok |
