|No| Caso de prueba | Prioridad | Precondiciones | Datos de entrada | Pasos | Resultados Esperados | Resultado Obtenido | Estado |
|---|---|---|---|---|---|---|---|---|
| **Modal Devolución y Pago** | | | | | | | | |
| 1 | Procesar pago final con devolución parcial de productos (efectivo) | Alta | El modal "Devolución y Pago" está abierto para una entrega. La entrega tiene un adelanto pagado. | Entrega: ID_ENTREGA_1, Productos: ["Producto A" (cantidad 5, precio 10.00), "Producto B" (cantidad 2, precio 20.00)], Adelanto Pagado: 20.00, Devolución: "Producto A" (cantidad 2), Motivo: "Defectuoso", Método de Pago: "Efectivo", Monto Recibido: 50.00 | 1. Abrir el modal para ID_ENTREGA_1. 2. Marcar "Producto A" para devolución. 3. Ingresar "2" como cantidad a devolver para "Producto A". 4. Ingresar un motivo de devolución. 5. Seleccionar "Efectivo" como método de pago. 6. Ingresar "50.00" en "Monto recibido". 7. Hacer clic en "Confirmar y Procesar Pago". | Se muestra una notificación de éxito. El estado de la entrega se actualiza (ej. "Completado"). El stock de "Producto A" se incrementa en 2. El pago final se registra correctamente, incluyendo el cambio. | Se muestra la notificación de éxito, el estado de la entrega se actualiza, el stock se incrementa y el pago se registra. | Ok |
| 2 | Procesar pago final sin devoluciones (tarjeta) | Media | El modal "Devolución y Pago" está abierto para una entrega. No hay adelanto pagado. | Entrega: ID_ENTREGA_2, Productos: ["Producto C" (cantidad 3, precio 15.00)], Adelanto Pagado: 0.00, Devolución: ninguna, Método de Pago: "Tarjeta" | 1. Abrir el modal para ID_ENTREGA_2. 2. No marcar ningún producto para devolución. 3. Seleccionar "Tarjeta" como método de pago. 4. Hacer clic en "Confirmar y Procesar Pago". | Se muestra una notificación de éxito. El estado de la entrega se actualiza (ej. "Completado"). El pago final se registra correctamente. | Se muestra la notificación de éxito, el estado de la entrega se actualiza y el pago se registra. | Ok |
| 3 | Intento de devolución con cantidad a devolver mayor a la cantidad en pedido | Media | El modal "Devolución y Pago" está abierto. | Entrega: ID_ENTREGA_3, Productos: ["Producto D" (cantidad 1, precio 5.00)], Devolución: "Producto D" (cantidad 2) | 1. Abrir el modal para ID_ENTREGA_3. 2. Marcar "Producto D" para devolución. 3. Ingresar "2" como cantidad a devolver para "Producto D" (cuando solo hay 1 en pedido). | La cantidad a devolver se ajusta automáticamente a la cantidad máxima disponible (1). Se muestra un mensaje de advertencia si la validación es explícita. | La cantidad a devolver se ajusta a 1. | Ok |
| 4 | Cancelación del proceso de devolución y pago | Baja | El modal "Devolución y Pago" está abierto. | - | 1. Rellenar algunos campos (opcional). 2. Hacer clic en el botón "Cancelar". | El modal se cierra sin guardar ningún cambio. El estado de la entrega permanece inalterado. | El modal se cierra y no se guarda ningún cambio. | Ok |
| **Modal Actualizar Dirección** | | | | | | | | |
| 5 | Actualizar dirección de entrega a domicilio | Alta | El modal "Actualizar Dirección" está abierto para una entrega existente. | Entrega: ID_ENTREGA_4, Tipo de Entrega: "Entrega a Domicilio", Dirección: "Nueva Calle 456", Fecha: "2025-12-30", Hora: "14:00", Barrio: "Barrio Nuevo", Referencia: "Edificio blanco", Ubicación: "URL_NUEVA", Costo Envío: 20.00 | 1. Abrir el modal para ID_ENTREGA_4. 2. Seleccionar "Entrega a Domicilio". 3. Rellenar todos los campos de dirección con nuevos datos válidos. 4. Hacer clic en "Actualizar". | Se muestra una notificación de éxito. La información de entrega de ID_ENTREGA_4 se actualiza en el sistema. | Se muestra la notificación de éxito y la información de entrega se actualiza. | Ok |
| 6 | Actualizar a retiro en sucursal | Media | El modal "Actualizar Dirección" está abierto para una entrega existente. | Entrega: ID_ENTREGA_5, Tipo de Entrega: "Retiro en Sucursal", Fecha: "2025-12-28", Hora: "11:00", Sucursal de Recojo: "Sucursal Principal" | 1. Abrir el modal para ID_ENTREGA_5. 2. Seleccionar "Retiro en Sucursal". 3. Rellenar fecha y hora de recojo. 4. Seleccionar "Sucursal Principal" como sucursal de recojo. 5. Hacer clic en "Actualizar". | Se muestra una notificación de éxito. La información de entrega de ID_ENTREGA_5 se actualiza a retiro en sucursal. | Se muestra la notificación de éxito y la información de entrega se actualiza. | Ok |
| 7 | Intento de actualizar dirección con campos obligatorios vacíos (Entrega a Domicilio) | Media | El modal "Actualizar Dirección" está abierto. | Entrega: ID_ENTREGA_6, Tipo de Entrega: "Entrega a Domicilio", Dirección: (vacío), Fecha: "2025-12-29", Hora: "16:00", Barrio: "Barrio Existente" | 1. Abrir el modal para ID_ENTREGA_6. 2. Seleccionar "Entrega a Domicilio". 3. Dejar el campo "Dirección" vacío. 4. Rellenar el resto de campos válidos. 5. Hacer clic en "Actualizar". | Se muestra un mensaje de error indicando que la dirección es obligatoria. El modal no se cierra. | Se muestra el mensaje de error y el modal no se cierra. | Ok |
| 8 | Cancelación de la actualización de dirección | Baja | El modal "Actualizar Dirección" está abierto. | - | 1. Rellenar algunos campos (opcional). 2. Hacer clic en el botón "Cancelar". | El modal se cierra sin guardar ningún cambio. La información de entrega permanece inalterada. | El modal se cierra y no se guarda ningún cambio. | Ok |
