|No| Caso de prueba | Prioridad | Precondiciones | Datos de entrada | Pasos | Resultados Esperados | Resultado Obtenido | Estado |
|---|---|---|---|---|---|---|---|---|
| **Distribución Principal** | | | | | | | | |
| 1 | Registro exitoso de una nueva distribución a sucursal | Alta | El formulario de creación de distribución está abierto. Stock disponible. | Sucursal Destino: "Sucursal B", Producto: "Producto X", Cantidad: 5 | 1. Seleccionar "Sucursal B" como destino. 2. Agregar "Producto X" (cantidad 5) a la lista de ítems. 3. Hacer clic en "Guardar y Enviar". | Se muestra una notificación de éxito con el mensaje "Distribución creada correctamente." o similar. El formulario se cierra. La nueva distribución aparece en la lista. El stock de "Producto X" en la sucursal de origen se reduce. | Se muestra la notificación de éxito, el formulario se cierra, la distribución aparece en la lista y el stock se reduce. | Ok |
| 2 | Registro exitoso de una nueva distribución a cliente con entrega a domicilio | Alta | El formulario de creación de distribución está abierto. Cliente existente seleccionado. Stock disponible. | Cliente: "Cliente Existente", Producto: "Paquete Y", Cantidad: 2, Tipo de Entrega: "Entrega a Domicilio", Dirección: "Calle Falsa 123", Fecha: "2025-12-25", Hora: "10:00", Barrio: "Barrio Central", Referencia: "Casa azul", Ubicación: "URL_MAPS", Costo Envío: 15.00 | 1. Seleccionar "Cliente Existente" como destino. 2. Agregar "Paquete Y" (cantidad 2) a la lista de ítems. 3. Seleccionar "Entrega a Domicilio". 4. Rellenar todos los campos de información de entrega. 5. Hacer clic en "Guardar y Enviar". | Se muestra una notificación de éxito con el mensaje "Distribución creada correctamente." o similar. El formulario se cierra. La nueva distribución aparece en la lista. El stock de "Paquete Y" en la sucursal de origen se reduce. | Se muestra la notificación de éxito, el formulario se cierra, la distribución aparece en la lista y el stock se reduce. | Ok |
| 3 | Intento de registro con lista de ítems vacía | Media | El formulario de creación de distribución está abierto. | Sucursal Destino: "Sucursal C", Ítems: vacío | 1. Seleccionar una sucursal destino. 2. No agregar ningún producto/paquete a la lista de ítems. 3. Intentar hacer clic en "Guardar y Enviar". | El botón "Guardar y Enviar" está deshabilitado o se muestra un mensaje de error indicando que la lista de ítems no puede estar vacía. | El botón "Guardar y Enviar" está deshabilitado. | Ok |
| 4 | Intento de agregar producto sin stock disponible | Media | El formulario de creación de distribución está abierto. | Producto: "Producto Z" (Stock en sucursal de origen: 0), Cantidad a agregar: 1 | 1. Intentar agregar "Producto Z" al carrito (ya sea desde la card o el selector). | Se muestra un mensaje de error "No hay stock disponible para Producto Z." o similar. El producto no se agrega a la lista. | Se muestra el mensaje de error "No hay stock disponible para Producto Z." y el producto no se agrega. | Ok |
| 5 | Cancelación de la creación de distribución | Baja | El formulario de creación de distribución está abierto. | - | 1. Rellenar algunos campos y agregar ítems (opcional). 2. Hacer clic en el botón "Cancelar". | El formulario se cierra sin guardar ningún cambio. Los ítems en la lista se descartan. El stock de los productos se restablece. | El formulario se cierra, los ítems se descartan y el stock se restablece. | Ok |
| **Modal Nuevo Cliente (dentro de Distribución)** | | | | | | | | |
| 6 | Registro exitoso de un nuevo cliente desde el modal | Alta | El modal de registro de nuevo cliente está abierto. Todos los datos son válidos. | Nombre: "Luis", Apellido Paterno: "Perez", Email: "luis.perez@example.com", Teléfono: "77771111", CI: "9876543", Género: "Masculino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Rellenar todos los campos con datos válidos. 3. Hacer clic en "Guardar Cliente". | El modal se cierra. El nuevo cliente aparece seleccionado en el campo "Cliente" del formulario de distribución principal. | El modal se cierra y el nuevo cliente aparece seleccionado. | Ok |
| 7 | Intento de registro de nuevo cliente con CI duplicado | Media | El modal de registro de nuevo cliente está abierto. Existe un cliente con CI "9876543". | Nombre: "Laura", Apellido Paterno: "Gomez", Email: "laura.gomez@example.com", Teléfono: "66662222", CI: "9876543", Género: "Femenino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Rellenar campos con datos válidos, pero usar un CI ya existente. 3. Hacer clic en "Guardar Cliente". | Se muestra un mensaje de error "Ya existe un cliente con este CI." o similar debajo del campo CI. El modal no se cierra. | Se muestra el mensaje de error "Ya existe un cliente con este CI." y el modal no se cierra. | Ok |
| 8 | Intento de registro de nuevo cliente con campos obligatorios vacíos | Media | El modal de registro de nuevo cliente está abierto. | Nombre: (vacío), Apellido Paterno: "Diaz", Email: "test2@test.com", Teléfono: "11112222", CI: "5432109", Género: "Femenino" | 1. Abrir el modal "Registrar Nuevo Cliente". 2. Dejar el campo "Nombre(s)" vacío. 3. Rellenar el resto de campos con datos válidos. 4. Hacer clic en "Guardar Cliente". | Se muestra un mensaje de error "El nombre es requerido." o similar debajo del campo "Nombre(s)". El modal no se cierra. | Se muestra el mensaje de error "El nombre es requerido." y el modal no se cierra. | Ok |
